2020-05-27 14:52:00,691 asyncio      DEBUG    Using selector: KqueueSelector
2020-05-27 14:54:15,662 weasyprint   WARNING  Invalid or unsupported selector '[tabindex="-1"]:focus:not(:focus-visible)', ('Unknown pseudo-class', 'focus-visible')
2020-05-27 14:54:15,663 weasyprint   WARNING  Ignored `text-decoration-skip-ink:none` at 6:1550, unknown property.
2020-05-27 14:54:15,667 weasyprint   WARNING  Ignored `outline:5px auto -webkit-focus-ring-color` at 6:2721, invalid value.
2020-05-27 14:54:15,668 weasyprint   WARNING  Ignored `resize:vertical` at 6:3501, unknown property.
2020-05-27 14:54:15,670 weasyprint   WARNING  Ignored `outline-offset:-2px` at 6:3854, unknown property.
2020-05-27 14:54:15,674 weasyprint   WARNING  Ignored `word-break:normal` at 6:5828, unknown property.
2020-05-27 14:54:15,675 weasyprint   WARNING  Ignored `overflow-y:scroll` at 6:5879, unknown property.
2020-05-27 14:54:15,675 weasyprint   WARNING  Expected a media type, got (min-width:576px)
2020-05-27 14:54:15,675 weasyprint   WARNING  Invalid media type " (min-width:576px)" the whole @media rule was ignored at 6:5991.
2020-05-27 14:54:15,675 weasyprint   WARNING  Expected a media type, got (min-width:768px)
2020-05-27 14:54:15,675 weasyprint   WARNING  Invalid media type " (min-width:768px)" the whole @media rule was ignored at 6:6044.
2020-05-27 14:54:15,676 weasyprint   WARNING  Expected a media type, got (min-width:992px)
2020-05-27 14:54:15,676 weasyprint   WARNING  Invalid media type " (min-width:992px)" the whole @media rule was ignored at 6:6097.
2020-05-27 14:54:15,676 weasyprint   WARNING  Expected a media type, got (min-width:1200px)
2020-05-27 14:54:15,676 weasyprint   WARNING  Invalid media type " (min-width:1200px)" the whole @media rule was ignored at 6:6150.
2020-05-27 14:54:15,677 weasyprint   WARNING  Expected a media type, got (min-width:576px)
2020-05-27 14:54:15,677 weasyprint   WARNING  Invalid media type " (min-width:576px)" the whole @media rule was ignored at 6:6361.
2020-05-27 14:54:15,677 weasyprint   WARNING  Expected a media type, got (min-width:768px)
2020-05-27 14:54:15,677 weasyprint   WARNING  Invalid media type " (min-width:768px)" the whole @media rule was ignored at 6:6428.
2020-05-27 14:54:15,677 weasyprint   WARNING  Expected a media type, got (min-width:992px)
2020-05-27 14:54:15,677 weasyprint   WARNING  Invalid media type " (min-width:992px)" the whole @media rule was ignored at 6:6509.
2020-05-27 14:54:15,677 weasyprint   WARNING  Expected a media type, got (min-width:1200px)
2020-05-27 14:54:15,677 weasyprint   WARNING  Invalid media type " (min-width:1200px)" the whole @media rule was ignored at 6:6604.
2020-05-27 14:54:15,677 weasyprint   WARNING  Ignored `display:-ms-flexbox` at 6:6720, invalid value.
2020-05-27 14:54:15,684 weasyprint   WARNING  Expected a media type, got (min-width:576px)
2020-05-27 14:54:15,685 weasyprint   WARNING  Invalid media type " (min-width:576px)" the whole @media rule was ignored at 6:9891.
